Sector,district
AB12 3,AB12
AB24 2,AB24
AB24 3,AB24
AB25 3,AB25
AB32 7,AB32
AB41 9,AB41
AB51 6,AB51
AB51 7,AB51
AB51 8,AB51
AB53 5,AB53
AL1 1,AL1
AL2 1,AL2
AL2 2,AL2
AL2 3,AL2
AL3 7,AL3
AL5 3,AL5
AL5 4,AL5
AL6 0,AL6
AL7 4,AL7
AL8 6,AL8
AL8 7,AL8
AL9 7,AL9
AL10 0,AL10
AL10 8,AL10
AL10 9,AL10
B4 6,B4
B5 4,B5
B5 6,B5
B5 7,B5
B9 4,B9
B13 8,B13
B13 9,B13
B15 1,B15
B17 0,B17
B19 1,B19
B19 2,B19
B24 0,B24
B25 8,B25
B29 7,B29
B32 4,B32
B38 8,B38
B40 1,B40
B44 8,B44
B60 4,B60
B63 1,B63
B65 8,B65
B66 1,B66
B69 2,B69
B72 1,B72
B75 5,B75
B90 1,B90
B90 2,B90
B91 1,B91
B91 3,B91
B92 0,B92
B97 6,B97
B98 8,B98
BA1 4,BA1
BA2 5,BA2
BA2 7,BA2
BA8 0,BA8
BA11 2,BA11
BA12 7,BA12
BA14 0,BA14
BA16 9,BA16
BA22 8,BA22
BB1 4,BB1
BB2 2,BB2
BB2 4,BB2
BB5 0,BB5
BB11 4,BB11
BB12 9,BB12
BD1 1,BD1
BD1 3,BD1
BD4 7,BD4
BD5 8,BD5
BD8 8,BD8
BD13 4,BD13
BD17 7,BD17
BD20 7,BD20
BD21 1,BD21
BD22 8,BD22
BD23 6,BD23
BH2 6,BH2
BH4 8,BH4
BH4 9,BH4
BH5 2,BH5
BH6 5,BH6
BH11 9,BH11
BH13 6,BH13
BH14 0,BH14
BH14 9,BH14
BH15 2,BH15
BH15 4,BH15
BH17 7,BH17
BH21 5,BH21
BH21 6,BH21
BH21 8,BH21
BH23 4,BH23
BH23 7,BH23
BL1 1,BL1
BL2 4,BL2
BL3 3,BL3
BL4 7,BL4
BN1 2,BN1
BN1 3,BN1
BN1 6,BN1
BN1 7,BN1
BN1 8,BN1
BN2 0,BN2
BN2 1,BN2
BN2 3,BN2
BN2 4,BN2
BN2 5,BN2
BN2 6,BN2
BN2 7,BN2
BN2 9,BN2
BN3 1,BN3
BN3 2,BN3
BN3 5,BN3
BN3 6,BN3
BN3 7,BN3
BN8 6,BN8
BN10 7,BN10
BN11 3,BN11
BN13 1,BN13
BN13 2,BN13
BN13 3,BN13
BN14 0,BN14
BN15 9,BN15
BN17 6,BN17
BN17 7,BN17
BN20 0,BN20
BN20 8,BN20
BN24 6,BN24
BN27 1,BN27
BN27 2,BN27
BN41 2,BN41
BN42 4,BN42
BN43 5,BN43
BR1 1,BR1
BR1 2,BR1
BR1 3,BR1
BR1 4,BR1
BR1 5,BR1
BR2 7,BR2
BR2 9,BR2
BR3 3,BR3
BR3 4,BR3
BR3 5,BR3
BR3 6,BR3
BR4 0,BR4
BR4 9,BR4
BR5 1,BR5
BR5 2,BR5
BR5 4,BR5
BR6 0,BR6
BR6 8,BR6
BS1 2,BS1
BS1 6,BS1
BS4 4,BS4
BS5 6,BS5
BS6 5,BS6
BS6 6,BS6
BS7 0,BS7
BS7 9,BS7
BS9 2,BS9
BS11 0,BS11
BS13 9,BS13
BS15 1,BS15
BS16 1,BS16
BS16 3,BS16
BS20 6,BS20
BS24 0,BS24
BS30 9,BS30
BS34 8,BS34
BS36 1,BS36
BS36 2,BS36
BS37 9,BS37
BS39 6,BS39
BS39 7,BS39
BS40 8,BS40
BS41 8,BS41
BS48 1,BS48
BS48 2,BS48
BT7 3,BT7
BT42 1,BT42
BT45 6,BT45
BT53 8,BT53
BT62 1,BT62
BT93 3,BT93
BT94 2,BT94
CA6 6,CA6
CA7 5,CA7
CA8 9,CA8
CB1 1,CB1
CB1 2,CB1
CB1 9,CB1
CB3 0,CB3
CB3 9,CB3
CB4 2,CB4
CB5 8,CB5
CB7 5,CB7
CB8 9,CB8
CB9 9,CB9
CB10 2,CB10
CB22 4,CB22
CB22 5,CB22
CB22 6,CB22
CB22 7,CB22
CB23 2,CB23
CB24 5,CB24
CB25 9,CB25
CF3 6,CF3
CF5 3,CF5
CF10 1,CF10
CF10 2,CF10
CF10 4,CF10
CF10 5,CF10
CF11 7,CF11
CF11 8,CF11
CF82 9,CF82
CH1 3,CH1
CH2 4,CH2
CH8 9,CH8
CH41 0,CH41
CH43 2,CH43
CH43 3,CH43
CH43 9,CH43
CH44 2,CH44
CH44 6,CH44
CH47 0,CH47
CH47 1,CH47
CH47 3,CH47
CH47 7,CH47
CH48 4,CH48
CH48 6,CH48
CH48 9,CH48
CH60 3,CH60
CH61 1,CH61
CH62 1,CH62
CH65 1,CH65
CH65 6,CH65
CH66 7,CH66
CM1 2,CM1
CM1 4,CM1
CM2 6,CM2
CM2 8,CM2
CM3 1,CM3
CM3 8,CM3
CM6 3,CM6
CM7 5,CM7
CM9 4,CM9
CM9 6,CM9
CM13 3,CM13
CM14 4,CM14
CM17 0,CM17
CM19 4,CM19
CM19 5,CM19
CM20 3,CM20
CM22 7,CM22
CM23 3,CM23
CM23 5,CM23
CM77 6,CM77
CO2 0,CO2
CO2 8,CO2
CO2 9,CO2
CO3 0,CO3
CO3 8,CO3
CO4 3,CO4
CO4 5,CO4
CO4 9,CO4
CO6 4,CO6
CO7 0,CO7
CO9 4,CO9
CR0 1,CR0
CR0 2,CR0
CR0 4,CR0
