Postcode District,Latitude,Longitude
AB1,57.1269,-2.13644
AB10,57.1349,-2.11738
AB11,57.1371,-2.09345
AB12,57.1034,-2.10996
AB13,57.1124,-2.24323
AB14,57.1034,-2.27279
AB15,57.1386,-2.16741
AB16,57.1595,-2.15654
AB2,57.1713,-2.14152
AB21,57.2077,-2.20026
AB22,57.1865,-2.11972
AB23,57.208,-2.08991
AB24,57.1634,-2.10827
AB25,57.1535,-2.11429
AB3,57.0876,-2.59624
AB30,56.8454,-2.47727
AB31,57.0669,-2.50475
AB32,57.1545,-2.31465
AB33,57.226,-2.73686
AB34,57.0926,-2.80992
AB35,57.0391,-3.14396
AB36,57.1963,-3.07247
AB37,57.3308,-3.35307
AB38,57.4854,-3.22719
AB39,56.9789,-2.21624
AB4,57.5343,-2.12713
AB41,57.3717,-2.11672
AB42,57.5016,-1.88812
AB43,57.6577,-2.04481
AB44,57.6682,-2.49307
AB45,57.6522,-2.56723
AB5,57.4652,-2.64764
AB51,57.2877,-2.40466
AB52,57.3423,-2.6025
AB53,57.5344,-2.4074
AB54,57.4657,-2.75606
AB55,57.5324,-2.97564
AB56,57.6735,-2.91928
AB9,57.1466,-2.1142
AB99,57.1113,-2.09399
AL1,51.7487,-0.319471
AL10,51.7609,-0.231208
AL2,51.7223,-0.331052
AL3,51.7755,-0.366657
AL4,51.7713,-0.29603
AL5,51.8146,-0.351516
AL6,51.8299,-0.199383
AL7,51.7987,-0.189397
AL8,51.8034,-0.210312
AL9,51.7469,-0.201716
B1,52.4796,-1.90779
B10,52.4701,-1.8533
B11,52.4554,-1.85984
B12,52.4609,-1.88254
B13,52.435,-1.88274
B14,52.4188,-1.89028
B15,52.468,-1.92341
B16,52.4754,-1.93225
B17,52.4615,-1.96293
B18,52.4916,-1.92238
B19,52.4963,-1.90613
B2,52.4863,-1.89732
B20,52.5134,-1.91884
B21,52.5051,-1.93634
B22,52.4117,-1.92883
B23,52.5276,-1.85166
B24,52.5196,-1.82884
B25,52.4614,-1.8262
B26,52.4607,-1.79271
B27,52.4458,-1.82377
B28,52.4278,-1.84318
B29,52.4377,-1.94541
B3,52.4823,-1.9029
B30,52.4211,-1.92812
B31,52.4092,-1.9731
B32,52.4511,-1.9945
B33,52.4808,-1.78802
B34,52.4957,-1.78168
B35,52.5172,-1.79004
B36,52.5045,-1.78003
B37,52.4784,-1.74179
B38,52.4011,-1.93391
B4,52.4838,-1.89374
B40,52.4586,-1.7244
B42,52.5347,-1.9043
B43,52.5476,-1.92824
B44,52.545,-1.88565
B45,52.3885,-2.0084
B46,52.5071,-1.6977
B47,52.3887,-1.88114
B48,52.3569,-1.95162
B49,52.2173,-1.86752
B5,52.4721,-1.89685
B50,52.1695,-1.85663
B6,52.5025,-1.88686
B60,52.3233,-2.04962
B61,52.3441,-2.06745
B62,52.46,-2.03737
B63,52.453,-2.06735
B64,52.4724,-2.06894
B65,52.4828,-2.04344
B66,52.4936,-1.96587
B67,52.4878,-1.97722
B68,52.4801,-2.00184
B69,52.5028,-2.02532
B7,52.4938,-1.8743
B70,52.5198,-2.00269
B71,52.5348,-1.9901
B72,52.5545,-1.8236
B73,52.5593,-1.83764
B74,52.5824,-1.85726
B75,52.5779,-1.81122
B76,52.5448,-1.78984
B77,52.6203,-1.67153
B78,52.6069,-1.67524
B79,52.6481,-1.68192
B8,52.49,-1.84278
B80,52.278,-1.89726
