Sector,district
AL1 1,AL1
AL1 4,AL1
AL2 2,AL2
AL2 3,AL2
AL3 4,AL3
AL3 5,AL3
AL3 7,AL3
AL3 8,AL3
AL4 0,AL4
AL4 8,AL4
AL4 9,AL4
AL5 1,AL5
AL5 2,AL5
AL5 3,AL5
AL5 4,AL5
AL5 5,AL5
AL6 0,AL6
AL6 9,AL6
AL9 7,AL9
B15 3,B15
B17 9,B17
B36 9,B36
B45 8,B45
B46 1,B46
B47 5,B47
B47 6,B47
B49 5,B49
B49 6,B49
B49 9,B49
B60 1,B60
B60 2,B60
B61 9,B61
B62 0,B62
B62 8,B62
B63 1,B63
B72 1,B72
B73 5,B73
B73 6,B73
B74 2,B74
B74 3,B74
B74 4,B74
B75 5,B75
B75 6,B75
B76 0,B76
B76 1,B76
B76 2,B76
B76 9,B76
B77 1,B77
B77 5,B77
B78 2,B78
B90 1,B90
B90 2,B90
B90 3,B90
B90 4,B90
B90 8,B90
B91 1,B91
B91 2,B91
B91 3,B91
B92 0,B92
B93 8,B93
B93 9,B93
B94 5,B94
B94 6,B94
B96 6,B96
B97 5,B97
B97 6,B97
B98 0,B98
B98 9,B98
BA1 8,BA1
BA2 3,BA2
BA2 6,BA2
BA2 8,BA2
BA9 8,BA9
BA11 2,BA11
BA11 6,BA11
BA12 7,BA12
BA14 6,BA14
BA15 2,BA15
BA20 2,BA20
BA21 3,BA21
BA22 7,BA22
BA22 8,BA22
BB1 9,BB1
BB2 5,BB2
BB2 7,BB2
BB4 4,BB4
BB5 2,BB5
BB6 8,BB6
BB7 3,BB7
BB7 4,BB7
BB7 9,BB7
BB12 9,BB12
BD11 2,BD11
BD15 9,BD15
BD16 1,BD16
BD16 3,BD16
BD20 5,BD20
BD20 9,BD20
BD23 4,BD23
BD23 5,BD23
BD23 6,BD23
BD24 0,BD24
BH6 4,BH6
BH7 7,BH7
BH9 2,BH9
BH9 3,BH9
BH13 6,BH13
BH13 7,BH13
BH14 8,BH14
BH14 9,BH14
BH18 8,BH18
BH18 9,BH18
BH21 1,BH21
BH21 2,BH21
BH21 3,BH21
BH21 6,BH21
BH21 7,BH21
BH22 2,BH22
BH22 8,BH22
BH22 9,BH22
BH23 4,BH23
BH23 5,BH23
BH23 8,BH23
BH24 2,BH24
BH24 4,BH24
BH25 7,BH25
BH31 6,BH31
BH31 7,BH31
BH31 9,BH31
BL0 9,BL0
BL1 5,BL1
BL1 7,BL1
BL2 3,BL2
BL2 4,BL2
BL5 1,BL5
BL6 4,BL6
BL7 0,BL7
BL7 8,BL7
BL7 9,BL7
BL8 1,BL8
BL8 2,BL8
BL8 3,BL8
BL8 4,BL8
BN1 5,BN1
BN1 6,BN1
BN3 6,BN3
BN5 0,BN5
BN5 9,BN5
BN6 8,BN6
BN6 9,BN6
BN7 3,BN7
BN8 4,BN8
BN12 4,BN12
BN12 5,BN12
BN14 0,BN14
BN14 7,BN14
BN14 9,BN14
BN16 2,BN16
BN18 9,BN18
BN20 0,BN20
BN20 9,BN20
BN23 5,BN23
BN24 5,BN24
BN25 2,BN25
BN25 4,BN25
