Sector,District,Just Moved - Index
AL1 1,AL1,93
AL1 3,AL1,95
AL1 4,AL1,86
AL1 5,AL1,87
AL2 1,AL2,86
AL2 3,AL2,71
AL3 4,AL3,85
AL3 5,AL3,84
AL3 7,AL3,72
AL3 8,AL3,72
AL4 9,AL4,76
AL5 1,AL5,90
AL5 2,AL5,94
AL5 3,AL5,90
AL5 4,AL5,91
AL5 5,AL5,90
AL8 7,AL8,77
AL9 5,AL9,84
AL9 7,AL9,86
AL10 8,AL10,87
AL10 9,AL10,96
B1 1,B1,99
B1 2,B1,99
B1 3,B1,100
B2 4,B2,100
B2 5,B2,100
B3 1,B3,99
B3 2,B3,100
B3 3,B3,94
B4 6,B4,99
B5 4,B5,99
B5 5,B5,99
B5 6,B5,98
B5 7,B5,82
B12 0,B12,98
B12 9,B12,78
B13 8,B13,83
B14 7,B14,85
B15 1,B15,98
B15 2,B15,97
B15 3,B15,94
B16 8,B16,99
B16 9,B16,96
B17 0,B17,95
B17 9,B17,94
B18 6,B18,99
B19 3,B19,74
B23 6,B23,75
B24 8,B24,71
B24 9,B24,78
B26 1,B26,75
B26 3,B26,89
B28 0,B28,77
B29 6,B29,77
B29 7,B29,75
B30 2,B30,74
B31 2,B31,72
B43 7,B43,73
B44 8,B44,71
B67 5,B67,93
B68 0,B68,75
B72 1,B72,70
B73 5,B73,74
B74 2,B74,81
B74 4,B74,78
B75 5,B75,90
B75 7,B75,80
B76 9,B76,81
B77 1,B77,77
B77 4,B77,71
B77 5,B77,85
B78 1,B78,71
B78 3,B78,70
B90 1,B90,83
B90 3,B90,73
B90 4,B90,70
B90 8,B90,80
B91 1,B91,84
B91 2,B91,87
B91 3,B91,77
B92 8,B92,78
B92 9,B92,78
B93 0,B93,82
B97 4,B97,86
BA1 1,BA1,96
BA1 2,BA1,93
BA1 3,BA1,74
BA1 4,BA1,73
BA1 5,BA1,89
BA1 6,BA1,85
BA1 9,BA1,84
BA2 3,BA2,91
BA2 4,BA2,78
